127.0.0.1 - - [23/Apr/2023:07:24:09 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2023:07:24:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6507
0:0:0:0:0:0:0:1 - - [23/Apr/2023:07:24:14 +0700] "GET /CapstoneProject/resources/css/style-customer-header.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [23/Apr/2023:07:24:17 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [23/Apr/2023:07:55:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [23/Apr/2023:07:58:41 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [23/Apr/2023:07:59:57 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:00:06 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:07:08 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7963
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:07:40 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7986
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:08:00 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:09:17 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:09:20 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:09:59 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:10:09 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:10:15 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:20:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:21:23 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8006
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:21:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:21:53 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:22:02 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:22:16 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:22:27 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8084
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:22:32 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8084
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:23:47 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:23:49 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:24:59 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8083
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:25:11 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8109
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:25:19 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8134
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:25:20 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8134
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:25:38 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:25:39 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:27:47 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8080
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:27:53 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:27:55 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:31:58 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:32:26 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:32:34 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:33:06 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:33:20 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:33:23 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:33:35 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:33:51 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:33:58 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:35:19 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:35:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:36:04 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8062
