127.0.0.1 - - [23/May/2023:10:13:13 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:16 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6587
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:20 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4016
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:30 +0700] "POST /CapstoneProject/login HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:32 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 13114
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:32 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:35 +0700] "GET /CapstoneProject/bill HTTP/1.1" 200 5174
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:35 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:38 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [23/May/2023:10:13:38 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:14:30 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [23/May/2023:10:14:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:17:10 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [23/May/2023:10:17:10 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:17:17 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [23/May/2023:10:17:37 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [23/May/2023:10:17:37 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:17:45 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 200 4626
0:0:0:0:0:0:0:1 - - [23/May/2023:10:17:45 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:28:55 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:10:28:55 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:29:16 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [23/May/2023:10:29:16 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:29:26 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/May/2023:10:35:08 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:10:35:08 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:35:16 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [23/May/2023:10:35:16 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:35:18 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/May/2023:10:36:28 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [23/May/2023:10:36:28 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:36:30 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/May/2023:10:47:30 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [23/May/2023:10:47:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:10:47:55 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/May/2023:11:07:13 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:11:07:13 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:07:24 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [23/May/2023:11:07:24 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:07:35 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 400 686
0:0:0:0:0:0:0:1 - - [23/May/2023:11:08:08 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:30 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 13114
0:0:0:0:0:0:0:1 - - [23/May/2023:11:10:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:11 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 13114
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:12 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:15 +0700] "GET /CapstoneProject/bill HTTP/1.1" 200 5174
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:18 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:11:11:18 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:00 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:00 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:02 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:02 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:03 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:03 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:13 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:13 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:20 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 4844
0:0:0:0:0:0:0:1 - - [23/May/2023:11:16:20 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:17:51 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [23/May/2023:11:17:51 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:21:00 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/May/2023:11:29:47 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:11:29:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:29:53 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [23/May/2023:11:29:53 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:11:32:14 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [23/May/2023:11:32:14 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:14:32 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:15:14:32 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:14:42 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [23/May/2023:15:14:42 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:14:54 +0700] "POST /CapstoneProject/processbillcreate HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [23/May/2023:15:22:40 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:15:22:40 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:22:48 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [23/May/2023:15:22:48 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:34:20 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:34:28 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [23/May/2023:15:34:28 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:37:34 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5630
0:0:0:0:0:0:0:1 - - [23/May/2023:15:37:34 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:45:18 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:15:45:19 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:45:30 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [23/May/2023:15:45:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:51:06 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:15:51:06 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:51:14 +0700] "POST /CapstoneProject/billdetailcreate HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [23/May/2023:15:51:14 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [23/May/2023:15:52:40 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 4967
0:0:0:0:0:0:0:1 - - [23/May/2023:15:52:40 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
