127.0.0.1 - - [19/Jun/2023:15:53:58 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:54:01 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:54:01 +0700] "GET /CapstoneProject/resources/css/style-customer-header.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:54:01 +0700] "GET /CapstoneProject/resources/css/style-customer-homepage.css HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:54:01 +0700] "GET /CapstoneProject/resources/css/style-customer-footer.css HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:54:03 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:08:00 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:08:29 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 200 7667
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:08:41 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:08:48 +0700] "POST /CapstoneProject/login HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:08:48 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:08:48 +0700] "GET /CapstoneProject/resources/css/style-page-admin.css HTTP/1.1" 200 16574
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:08:48 +0700] "GET /CapstoneProject/resources/js/js-page-admin.js HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:09:03 +0700] "GET /CapstoneProject/revenue HTTP/1.1" 200 7035
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:09:03 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:22:18 +0700] "GET /CapstoneProject/schedulesuccessfully HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:22:49 +0700] "GET /CapstoneProject/schedulesuccessfully HTTP/1.1" 200 7133
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:23:02 +0700] "GET /CapstoneProject/schedulesuccessfully HTTP/1.1" 200 7051
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:25:49 +0700] "GET /CapstoneProject/schedulesuccessfully HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:26:10 +0700] "GET /CapstoneProject/schedulesuccessfully HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:26:24 +0700] "GET /CapstoneProject/schedulesuccessfully HTTP/1.1" 200 7125
