127.0.0.1 - - [05/Jul/2023:15:44:34 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:44:44 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:44:45 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:45:28 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:48:46 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:48:54 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:48:54 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:48:59 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:48:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:49:04 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 14891
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:49:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:49:27 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 15988
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:49:27 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:49:40 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 17092
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:49:40 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:58:17 +0700] "GET /CapstoneProject/stepremove?idStep=25 HTTP/1.1" 200 15968
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:58:17 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:58:22 +0700] "GET /CapstoneProject/stepremove?idStep=24 HTTP/1.1" 200 14845
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:58:22 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:58:24 +0700] "GET /CapstoneProject/stepremove?idStep=27 HTTP/1.1" 200 13742
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:58:24 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:15:58:25 +0700] "GET /CapstoneProject/stepremove?idStep=28 HTTP/1.1" 200 12619
